(Declared Winner)","NO
(Declared Loser)",UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,Over Votes,Under Votes,Total,"Error Bound (up) - 
Max. possible relative overstatement for
NO (Loser)",Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,"Selection - 
Batch picked for audit",Times p Drawn - With Replacement
Batch by Type (p),Winning Candidate,Losing Candidate,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Over Votes,Under Votes,Total,Error Bound (up) - Max. possible relative overstatement - Losing Candidate,Error Bound (up) - Max. possible relative overstatement - Candidate 3,Error Bound (up) - Max. possible relative overstatement - Candidate 4,Error Bound (up) - Max. possible relative overstatement - Candidate 5,Error Bound (up) - Max. possible relative overstatement - Candidate 6,Error Bound (up) - Max. possible relative overstatement - Candidate 7,Error Bound (up) - Max. possible relative overstatement - Candidate 8,Error Bound (up) - Max. possible relative overstatement - Candidate 9,Error Bound (up) - Max. possible relative overstatement - Candidate 10,Error Bound (up) - Max. possible relative overstatement - Candidate 11,Error Bound (up) - Max. possible relative overstatement - Candidate 12,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,Selection - Batch picked for audit,Times p Drawn - With Replacement
2002 CIN 20-B   (ED),148,62,,,,,,,,,,,0,2,212,0.003450831,0,0,0,0,0,0,0,0,0,0,0.003450831,0.00079444, 0.43 ,42691 - 42770,42691.28542,78.44399865,42769.72942,,0
2003 CIN 20-C   (ED),327,97,,,,,,,,,,,1,4,429,0.007631201,0,0,0,0,0,0,0,0,0,0,0.007631201,0.001756832, 0.43 ,42771 - 42945,42770.72942,174.6832051,42945.41262,,0
2004 CIN 20-D   (ED),282,86,,,,,,,,,,,0,4,372,0.006577424,0,0,0,0,0,0,0,0,0,0,0.006577424,0.001514235, 0.43 ,42946 - 43097,42946.41262,150.4234605,43096.83608,,0
2005 CIN 20-E   (ED),100,48,,,,,,,,,,,0,1,149,0.002327574,0,0,0,0,0,0,0,0,0,0,0.002327574,0.000535847, 0.43 ,43098 - 43150,43097.83608,52.5847105,43150.42079,,0
2101 CIN 21-A   (ED),75,34,,,,,,,,,,,0,2,111,0.001760156,0,0,0,0,0,0,0,0,0,0,0.001760156,0.000405218, 0.43 ,43151 - 43191,43151.42079,39.52177112,43190.94257,,0
2102 CIN 21-B   (ED),81,18,,,,,,,,,,,0,0,99,0.001875955,0,0,0,0,0,0,0,0,0,0,0.001875955,0.000431877, 0.43 ,43192 - 43234,43191.94257,42.18767712,43234.13024,,0
2103 CIN 21-C   (ED),123,29,,,,,,,,,,,0,2,154,0.002871833,0,0,0,0,0,0,0,0,0,0,0.002871833,0.000661145, 0.43 ,43235 - 43300,43235.13024,65.11446867,43300.24471,,0
2104 CIN 21-D   (ED),95,45,,,,,,,,,,,0,2,142,0.002223354,0,0,0,0,0,0,0,0,0,0,0.002223354,0.000511854, 0.43 ,43301 - 43351,43301.24471,50.1853951,43351.43011,,0
2105 CIN 21-E   (ED),86,17,,,,,,,,,,,0,3,106,0.002026495,0,0,0,0,0,0,0,0,0,0,0.002026495,0.000466534, 0.43 ,43352 - 43398,43352.43011,45.65335491,43398.08346,,0
2201 CIN 22-A   (ED),496,48,,,,,,,,,,,0,6,550,0.011556811,0,0,0,0,0,0,0,0,0,0,0.011556811,0.002660574, 0.44 ,43399 - 43664,43399.08346,265.0574183,43664.14088,,0
2202 CIN 22-B   (ED),200,37,,,,,,,,,,,0,2,239,0.004655148,0,0,0,0,0,0,0,0,0,0,0.004655148,0.001071694, 0.44 ,43665 - 43771,43665.14088,106.169421,43771.3103,,0
2203 CIN 22-C   (ED),131,15,,,,,,,,,,,0,3,149,0.003068692,0,0,0,0,0,0,0,0,0,0,0.003068692,0.000706465, 0.44 ,43772 - 43842,43772.3103,69.64650886,43841.95681,,0
2301 CIN 23-A   (ED),418,56,,,,,,,,,,,0,1,475,0.009692436,0,0,0,0,0,0,0,0,0,0,0.009692436,0.002231363, 0.44 ,43843 - 44065,43842.95681,222.1363318,44065.09314,,0
2302 CIN 23-B   (ED),149,21,,,,,,,,,,,0,1,171,0.003462411,0,0,0,0,0,0,0,0,0,0,0.003462411,0.000797106, 0.44 ,44066 - 44145,44066.09314,78.71058925,44144.80373,,0
2303 CIN 23-C   (ED),376,26,,,,,,,,,,,0,1,403,0.008719718,0,0,0,0,0,0,0,0,0,0,0.008719718,0.002007427, 0.44 ,44146 - 44346,44145.80373,199.7427214,44345.54645,,0
2304 CIN 23-D   (ED),510,36,,,,,,,,,,,0,1,547,0.011823151,0,0,0,0,0,0,0,0,0,0,0.011823151,0.00272189, 0.45 ,44347 - 44618,44346.54645,271.1890021,44617.73545,,0
2305 CIN 23-E   (ED),231,29,,,,,,,,,,,0,1,261,0.005361527,0,0,0,0,0,0,0,0,0,0,0.005361527,0.001234314, 0.45 ,44619 - 44741,44618.73545,122.4314476,44741.1669,,0
2306 CIN 23-F   (ED),381,87,,,,,,,,,,,0,3,471,0.008858678,0,0,0,0,0,0,0,0,0,0,0.008858678,0.002039418, 0.45 ,44742 - 44945,44742.1669,202.9418086,44945.10871,,0
2307 CIN 23-G   (ED),152,24,,,,,,,,,,,0,1,177,0.003531891,0,0,0,0,0,0,0,0,0,0,0.003531891,0.000813101, 0.45 ,44946 - 45026,44946.10871,80.31013284,45026.41884,,0
2308 CIN 23-H   (ED),348,127,,,,,,,,,,,0,4,479,0.00810598,0,0,0,0,0,0,0,0,0,0,0.00810598,0.001866134, 0.45 ,45027 - 45213,45027.41884,185.6134196,45213.03226,,0
2309 CIN 23-I   (ED),294,101,,,,,,,,,,,2,1,398,0.006843763,0,0,0,0,0,0,0,0,0,0,0.006843763,0.00157555, 0.45 ,45214 - 45371,45214.03226,156.5550443,45370.58731,,0
2310 CIN 23-J   (ED),308,113,,,,,,,,,,,1,4,426,0.007191162,0,0,0,0,0,0,0,0,0,0,0.007191162,0.001655528, 0.46 ,45372 - 45536,45371.58731,164.5527623,45536.14007,,0
2311 CIN 23-K   (ED),361,67,,,,,,,,,,,0,2,430,0.008383899,0,0,0,0,0,0,0,0,0,0,0.008383899,0.001930116, 0.46 ,45537 - 45729,45537.14007,192.011594,45729.15166,,0
2312 CIN 23-L   (ED),151,32,,,,,,,,,,,0,2,185,0.003520311,0,0,0,0,0,0,0,0,0,0,0.003520311,0.000810435, 0.46 ,45730 - 45810,45730.15166,80.04354224,45810.19521,,0
2313 CIN 23-M   (ED),248,49,,,,,,,,,,,0,1,298,0.005755246,0,0,0,0,0,0,0,0,0,0,0.005755246,0.001324955, 0.46 ,45811 - 45943,45811.19521,131.4955279,45942.69073,,0
2314 CIN 23-N   (ED),354,92,,,,,,,,,,,0,3,449,0.00823336,0,0,0,0,0,0,0,0,0,0,0.00823336,0.001895459, 0.46 ,45944 - 46132,45943.69073,188.5459162,46132.23665,,0
2315 CIN 23-O   (ED),365,82,,,,,,,,,,,0,2,449,0.008476539,0,0,0,0,0,0,0,0,0,0,0.008476539,0.001951443, 0.46 ,46133 - 46327,46133.23665,194.1443188,46327.38097,,0
2316 CIN 23-P   (ED),327,76,,,,,,,,,,,0,3,406,0.007608041,0,0,0,0,0,0,0,0,0,0,0.007608041,0.0017515, 0.47 ,46328 - 46503,46328.38097,174.1500239,46502.53099,,0
2317 CIN 23-Q   (ED),120,33,,,,,,,,,,,0,0,153,0.002779193,0,0,0,0,0,0,0,0,0,0,0.002779193,0.000639817, 0.47 ,46504 - 46567,46503.53099,62.98174388,46566.51274,,0
2318 CIN 23-R   (ED),159,38,,,,,,,,,,,0,2,199,0.003705591,0,0,0,0,0,0,0,0,0,0,0.003705591,0.00085309, 0.47 ,46568 - 46652,46567.51274,84.30899183,46651.82173,,0
2401 CIN 24-A   (ED),353,62,,,,,,,,,,,0,3,418,0.0082102,0,0,0,0,0,0,0,0,0,0,0.0082102,0.001890127, 0.47 ,46653 - 46841,46652.82173,188.012735,46840.83446,,0
2402 CIN 24-B   (ED),400,86,,,,,,,,,,,0,6,492,0.009333457,0,0,0,0,0,0,0,0,0,0,0.009333457,0.00214872, 0.47 ,46842 - 47056,46841.83446,213.8720232,47055.70649,,0
2403 CIN 24-C   (ED),193,27,,,,,,,,,,,0,1,221,0.004481449,0,0,0,0,0,0,0,0,0,0,0.004481449,0.001031706, 0.47 ,47057 - 47159,47056.70649,102.170562,47158.87705,,0
2404 CIN 24-D   (ED),295,99,,,,,,,,,,,0,2,396,0.006855343,0,0,0,0,0,0,0,0,0,0,0.006855343,0.001578216, 0.47 ,47160 - 47317,47159.87705,156.8216349,47316.69868,,0
2405 CIN 24-E   (ED),75,14,,,,,,,,,,,0,4,93,0.001783316,0,0,0,0,0,0,0,0,0,0,0.001783316,0.00041055, 0.47 ,47318 - 47358,47317.69868,40.05495232,47357.75364,,0
2406 CIN 24-F   (ED),162,43,,,,,,,,,,,0,2,207,0.003775071,0,0,0,0,0,0,0,0,0,0,0.003775071,0.000869085, 0.47 ,47359 - 47445,47358.75364,85.90853543,47444.66217,,0
2407 CIN 24-G   (ED),295,153,,,,,,,,,,,0,3,451,0.006866923,0,0,0,0,0,0,0,0,0,0,0.006866923,0.001580882, 0.48 ,47446 - 47603,47445.66217,157.0882255,47602.7504,,0
2408 CIN 24-H   (ED),21,4,,,,,,,,,,,0,0,25,0.000486359,0,0,0,0,0,0,0,0,0,0,0.000486359,0.000111968, 0.48 ,47604 - 47614,47603.7504,10.19680518,47613.9472,,0
2409 CIN 24-I   (ED),45,3,,,,,,,,,,,0,1,49,0.001053777,0,0,0,0,0,0,0,0,0,0,0.001053777,0.000242597, 0.48 ,47615 - 47638,47614.9472,23.25974455,47638.20695,,0
2501 CIN 25-A   (ED),180,24,,,,,,,,,,,0,0,204,0.00416879,0,0,0,0,0,0,0,0,0,0,0.00416879,0.000959726, 0.48 ,47639 - 47734,47639.20695,94.97261581,47734.17956,,0
2502 CIN 25-B   (ED),117,47,,,,,,,,,,,2,6,172,0.002802353,0,0,0,0,0,0,0,0,0,0,0.002802353,0.000645149, 0.48 ,47735 - 47799,47735.17956,63.51492507,47798.69449,,0
2503 CIN 25-C   (ED),345,198,,,,,,,,,,,0,2,545,0.00801334,0,0,0,0,0,0,0,0,0,0,0.00801334,0.001844807, 0.48 ,47800 - 47983,47799.69449,183.4806948,47983.17518,,0
2504 CIN 25-D   (ED),205,107,,,,,,,,,,,0,1,313,0.004759368,0,0,0,0,0,0,0,0,0,0,0.004759368,0.001095687, 0.48 ,47984 - 48093,47984.17518,108.5687364,48092.74392,,0
2505 CIN 25-E   (ED),289,186,,,,,,,,,,,1,2,478,0.006727963,0,0,0,0,0,0,0,0,0,0,0.006727963,0.001548891, 0.48 ,48094 - 48248,48093.74392,153.8891383,48247.63306,,0
2506 CIN 25-F   (ED),230,125,,,,,,,,,,,2,1,358,0.005361527,0,0,0,0,0,0,0,0,0,0,0.005361527,0.001234314, 0.48 ,48249 - 48371,48248.63306,122.4314476,48371.0645,,0
2507 CIN 25-G   (ED),116,73,,,,,,,,,,,0,2,191,0.002709713,0,0,0,0,0,0,0,0,0,0,0.002709713,0.000623822, 0.48 ,48372 - 48433,48372.0645,61.38220028,48433.4467,,0
2508 CIN 25-H   (ED),303,147,,,,,,,,,,,0,4,454,0.007063782,0,0,0,0,0,0,0,0,0,0,0.007063782,0.001626203, 0.49 ,48434 - 48596,48434.4467,161.6202657,48596.06697,,0
2509 CIN 25-I   (ED),241,163,,,,,,,,,,,0,2,406,0.005604706,0,0,0,0,0,0,0,0,0,0,0.005604706,0.001290299, 0.49 ,48597 - 48725,48597.06697,128.0298501,48725.09682,,0
2510 CIN 25-J   (ED),190,69,,,,,,,,,,,0,3,262,0.004435129,0,0,0,0,0,0,0,0,0,0,0.004435129,0.001021042, 0.49 ,48726 - 48827,48726.09682,101.1041996,48827.20102,,0
2511 CIN 25-K   (ED),238,87,,,,,,,,,,,1,1,327,0.005535226,0,0,0,0,0,0,0,0,0,0,0.005535226,0.001274303, 0.49 ,48828 - 48955,48828.20102,126.4303066,48954.63133,,0
2512 CIN 25-L   (ED),93,27,,,,,,,,,,,0,1,121,0.002165455,0,0,0,0,0,0,0,0,0,0,0.002165455,0.000498524, 0.49 ,48956 - 49004,48955.63133,48.8524421,49004.48377,,0
2601 CIN 26-A   (ED),333,193,,,,,,,,,,,0,4,530,0.007758581,0,0,0,0,0,0,0,0,0,0,0.007758581,0.001786157, 0.49 ,49005 - 49183,49005.48377,177.6157017,49183.09947,,0
2602 CIN 26-B   (ED),234,68,,,,,,,,,,,0,1,303,0.005431007,0,0,0,0,0,0,0,0,0,0,0.005431007,0.00125031, 0.49 ,49184 - 49308,49184.09947,124.0309912,49308.13046,,0
2603 CIN 26-C   (ED),169,63,,,,,,,,,,,0,4,236,0.00396035,0,0,0,0,0,0,0,0,0,0,0.00396035,0.00091174, 0.49 ,49309 - 49399,49309.13046,90.17398502,49399.30445,,0
2604 CIN 26-D   (ED),151,32,,,,,,,,,,,0,1,184,0.003508731,0,0,0,0,0,0,0,0,0,0,0.003508731,0.00080777, 0.49 ,49400 - 49480,49400.30445,79.77695164,49480.0814,,0
2605 CIN 26-E   (ED),190,31,,,,,,,,,,,0,4,225,0.004446709,0,0,0,0,0,0,0,0,0,0,0.004446709,0.001023708, 0.50 ,49481 - 49582,49481.0814,101.3707902,49582.45219,,0
2606 CIN 26-F   (ED),148,19,,,,,,,,,,,0,2,169,0.003450831,0,0,0,0,0,0,0,0,0,0,0.003450831,0.00079444, 0.50 ,49583 - 49662,49583.45219,78.44399865,49661.89619,,0
2607 CIN 26-G   (ED),161,92,,,,,,,,,,,0,1,254,0.003740331,0,0,0,0,0,0,0,0,0,0,0.003740331,0.000861088, 0.50 ,49663 - 49748,49662.89619,85.10876363,49748.00495,,0
2608 CIN 26-H   (ED),75,9,,,,,,,,,,,0,0,84,0.001736996,0,0,0,0,0,0,0,0,0,0,0.001736996,0.000399886, 0.50 ,49749 - 49788,49749.00495,38.98858992,49787.99354,,0
2609 CIN 26-I   (ED),273,127,,,,,,,,,,,0,5,405,0.006380564,0,0,0,0,0,0,0,0,0,0,0.006380564,0.001468914, 0.50 ,49789 - 49935,49788.99354,145.8914203,49934.88496,,0
2610 CIN 26-J   (ED),264,48,,,,,,,,,,,0,5,317,0.006172125,0,0,0,0,0,0,0,0,0,0,0.006172125,0.001420928, 0.50 ,49936 - 50077,49935.88496,141.0927895,50076.97775,,0
2611 CIN 26-K   (ED),329,162,,,,,,,,,,,0,2,493,0.007642781,0,0,0,0,0,0,0,0,0,0,0.007642781,0.001759498, 0.50 ,50078 - 50253,50077.97775,174.9497957,50252.92755,,0
2612 CIN 26-L   (ED),163,44,,,,,,,,,,,0,0,207,0.003775071,0,0,0,0,0,0,0,0,0,0,0.003775071,0.000869085, 0.50 ,50254 - 50340,50253.92755,85.90853543,50339.83608,,0
2613 CIN 26-M   (ED),97,20,,,,,,,,,,,2,1,120,0.002281254,0,0,0,0,0,0,0,0,0,0,0.002281254,0.000525183, 0.50 ,50341 - 50392,50340.83608,51.5183481,50392.35443,,0
2614 CIN 26-N   (ED),219,66,,,,,,,,,,,0,1,286,0.005083607,0,0,0,0,0,0,0,0,0,0,0.005083607,0.001170333, 0.51 ,50393 - 50509,50393.35443,116.0332732,50509.3877,,0
2615 CIN 26-O   (ED),366,123,,,,,,,,,,,1,6,496,0.008557599,0,0,0,0,0,0,0,0,0,0,0.008557599,0.001970105, 0.51 ,50510 - 50706,50510.3877,196.010453,50706.39816,,0
2616 CIN 26-P   (ED),239,71,,,,,,,,,,,0,4,314,0.005581546,0,0,0,0,0,0,0,0,0,0,0.005581546,0.001284967, 0.51 ,50707 - 50835,50707.39816,127.496669,50834.89482,,0
2617 CIN 26-Q   (ED),136,29,,,,,,,,,,,1,3,169,0.003196072,0,0,0,0,0,0,0,0,0,0,0.003196072,0.00073579, 0.51 ,50836 - 50908,50835.89482,72.57900546,50908.47383,,0
2618 CIN 26-R   (ED),101,19,,,,,,,,,,,0,0,120,0.002339154,0,0,0,0,0,0,0,0,0,0,0.002339154,0.000538513, 0.51 ,50909 - 50962,50909.47383,52.8513011,50962.32513,,0
2619 CIN 26-S   (ED),181,77,,,,,,,,,,,0,1,259,0.00420353,0,0,0,0,0,0,0,0,0,0,0.00420353,0.000967724, 0.51 ,50963 - 51059,50963.32513,95.77238761,51059.09752,,0
2811 BLUE 1-A   (ED),270,177,,,,,,,,,,,0,2,449,0.006276344,0,0,0,0,0,0,0,0,0,0,0.006276344,0.001444921, 0.51 ,51060 - 51204,51060.09752,143.4921049,51203.58962,,0
2812 BLUE 1-B   (ED),254,125,,,,,,,,,,,0,0,379,0.005882625,0,0,0,0,0,0,0,0,0,0,0.005882625,0.00135428, 0.51 ,51205 - 51339,51204.58962,134.4280245,51339.01765,,0
2821 BLUE 2-A   (ED),225,108,,,,,,,,,,,0,5,338,0.005268887,0,0,0,0,0,0,0,0,0,0,0.005268887,0.001212987, 0.51 ,51340 - 51460,51340.01765,120.2987228,51460.31637,3,1
2822 BLUE 2-B   (ED),185,133,,,,,,,,,,,0,3,321,0.004319329,0,0,0,0,0,0,0,0,0,0,0.004319329,0.000994383, 0.52 ,51461 - 51560,51461.31637,98.43829361,51559.75466,,0
2823 BLUE 2-C   (ED),359,183,,,,,,,,,,,0,7,549,0.008395479,0,0,0,0,0,0,0,0,0,0,0.008395479,0.001932782, 0.52 ,51561 - 51753,51560.75466,192.2781846,51753.03285,,0
2831 BLUE 3-A   (ED),269,146,,,,,,,,,,,0,3,418,0.006264764,0,0,0,0,0,0,0,0,0,0,0.006264764,0.001442255, 0.52 ,51754 - 51897,51754.03285,143.2255143,51897.25836,,0
2832 BLUE 3-B   (ED),278,121,,,,,,,,,,,0,10,409,0.006554264,0,0,0,0,0,0,0,0,0,0,0.006554264,0.001508903, 0.52 ,51898 - 52048,51898.25836,149.8902793,52048.14864,,0
2841 BLUE 4-A   (ED),293,133,,,,,,,,,,,0,5,431,0.006843763,0,0,0,0,0,0,0,0,0,0,0.006843763,0.00157555, 0.52 ,52049 - 52206,52049.14864,156.5550443,52205.70369,,0
2842 BLUE 4-B   (ED),343,181,,,,,,,,,,,0,7,531,0.00802492,0,0,0,0,0,0,0,0,0,0,0.00802492,0.001847473, 0.52 ,52207 - 52390,52206.70369,183.7472854,52390.45097,,0
2851 BLUE 5-A   (ED),353,157,,,,,,,,,,,1,5,516,0.00824494,0,0,0,0,0,0,0,0,0,0,0.00824494,0.001898125, 0.53 ,52391 - 52580,52391.45097,188.8125068,52580.26348,,0
2852 BLUE 5-B   (ED),267,115,,,,,,,,,,,0,4,386,0.006230025,0,0,0,0,0,0,0,0,0,0,0.006230025,0.001434257, 0.53 ,52581 - 52724,52581.26348,142.4257425,52723.68922,,0
2911 CHEV 1-A   (ED),330,220,,,,,,,,,,,0,4,554,0.007689101,0,0,0,0,0,0,0,0,0,0,0.007689101,0.001770162, 0.53 ,52725 - 52901,52724.68922,176.0161581,52900.70538,,0
2921 CHEV 2-A   (ED),335,243,,,,,,,,,,,1,6,585,0.007839641,0,0,0,0,0,0,0,0,0,0,0.007839641,0.001804818, 0.53 ,52902 - 53081,52901.70538,179.4818358,53081.18722,,0
2931 CHEV 3-A   (ED),308,152,,,,,,,,,,,0,5,465,0.007191162,0,0,0,0,0,0,0,0,0,0,0.007191162,0.001655528, 0.53 ,53082 - 53247,53082.18722,164.5527623,53246.73998,,0
2941 CHEV 4-A   (ED),382,203,,,,,,,,,,,0,8,593,0.008939738,0,0,0,0,0,0,0,0,0,0,0.008939738,0.002058079, 0.53 ,53248 - 53453,53247.73998,204.8079428,53452.54792,,0
3111 DR PK 1-A   (ED),271,152,,,,,,,,,,,0,8,431,0.006368984,0,0,0,0,0,0,0,0,0,0,0.006368984,0.001466248, 0.54 ,53454 - 53599,53453.54792,145.6248297,53599.17275,,0
3121 DR PK 2-A   (ED),322,186,,,,,,,,,,,0,1,509,0.007469081,0,0,0,0,0,0,0,0,0,0,0.007469081,0.001719509, 0.54 ,53600 - 53771,53600.17275,170.9509367,53771.12369,,0
3131 DR PK 3-A   (ED),289,159,,,,,,,,,,,0,7,455,0.006774283,0,0,0,0,0,0,0,0,0,0,0.006774283,0.001559555, 0.54 ,53772 - 53927,53772.12369,154.9555007,53927.07919,,0
3141 DR PK 4-A   (ED),272,182,,,,,,,,,,,0,6,460,0.006368984,0,0,0,0,0,0,0,0,0,0,0.006368984,0.001466248, 0.54 ,53928 - 54074,53928.07919,145.6248297,54073.70402,,0
3201 FR PK A   (ED),254,54,,,,,,,,,,,0,2,310,0.005905785,0,0,0,0,0,0,0,0,0,0,0.005905785,0.001359612, 0.54 ,54075 - 54210,54074.70402,134.9612057,54209.66522,,0
3202 FR PK B   (ED),277,106,,,,,,,,,,,0,3,386,0.006450044,0,0,0,0,0,0,0,0,0,0,0.006450044,0.00148491, 0.54 ,54211 - 54358,54210.66522,147.4909639,54358.15619,,0
3203 FR PK C   (ED),255,52,,,,,,,,,,,0,2,309,0.005928945,0,0,0,0,0,0,0,0,0,0,0.005928945,0.001364944, 0.54 ,54359 - 54495,54359.15619,135.4943869,54494.65057,,0
3204 FR PK D   (ED),231,69,,,,,,,,,,,0,2,302,0.005373107,0,0,0,0,0,0,0,0,0,0,0.005373107,0.00123698, 0.55 ,54496 - 54618,54495.65057,122.6980382,54618.34861,,0
3205 FR PK E   (ED),207,71,,,,,,,,,,,0,5,283,0.004852008,0,0,0,0,0,0,0,0,0,0,0.004852008,0.001117015, 0.55 ,54619 - 54730,54619.34861,110.7014612,54730.05007,,0
3206 FR PK F   (ED),133,35,,,,,,,,,,,0,2,170,0.003103432,0,0,0,0,0,0,0,0,0,0,0.003103432,0.000714463, 0.55 ,54731 - 54801,54731.05007,70.44628066,54801.49635,,0
3207 FR PK G   (ED),217,48,,,,,,,,,,,0,5,270,0.005083607,0,0,0,0,0,0,0,0,0,0,0.005083607,0.001170333, 0.55 ,54802 - 54919,54802.49635,116.0332732,54918.52963,,0
3208 FR PK H   (ED),220,34,,,,,,,,,,,0,6,260,0.005164667,0,0,0,0,0,0,0,0,0,0,0.005164667,0.001188994, 0.55 ,54920 - 55037,54919.52963,117.8994074,55037.42903,,0
3209 FR PK I   (ED),259,97,,,,,,,,,,,0,4,360,0.006044745,0,0,0,0,0,0,0,0,0,0,0.006044745,0.001391603, 0.55 ,55038 - 55177,55038.42903,138.1602929,55176.58933,,0
3210 FR PK J   (ED),233,60,,,,,,,,,,,0,6,299,0.005465746,0,0,0,0,0,0,0,0,0,0,0.005465746,0.001258308, 0.55 ,55178 - 55302,55177.58933,124.830763,55302.42009,,0
3211 FR PK K   (ED),198,43,,,,,,,,,,,0,5,246,0.004643568,0,0,0,0,0,0,0,0,0,0,0.004643568,0.001069028, 0.55 ,55303 - 55409,55303.42009,105.9028304,55409.32292,,0
3212 FR PK L   (ED),257,76,,,,,,,,,,,0,4,337,0.005998425,0,0,0,0,0,0,0,0,0,0,0.005998425,0.001380939, 0.56 ,55410 - 55547,55410.32292,137.0939305,55547.41685,,0
3213 FR PK M   (ED),277,67,,,,,,,,,,,0,0,344,0.006415304,0,0,0,0,0,0,0,0,0,0,0.006415304,0.001476912, 0.56 ,55548 - 55695,55548.41685,146.6911921,55695.10804,,0
3401 HARR A   (ED),190,316,,,,,,,,,,,0,8,514,0.004493029,0,0,0,0,0,0,0,0,0,0,0.004493029,0.001034372, 0.56 ,55696 - 55799,55696.10804,102.4371526,55798.5452,,0
3402 HARR B   (ED),195,295,,,,,,,,,,,0,3,493,0.004550929,0,0,0,0,0,0,0,0,0,0,0.004550929,0.001047701, 0.56 ,55800 - 55903,55799.5452,103.7701056,55903.3153,,0
3403 HARR C   (ED),238,405,,,,,,,,,,,0,6,649,0.005581546,0,0,0,0,0,0,0,0,0,0,0.005581546,0.001284967, 0.56 ,55904 - 56032,55904.3153,127.496669,56031.81197,,0
3404 HARR D   (ED),254,387,,,,,,,,,,,0,1,642,0.005894205,0,0,0,0,0,0,0,0,0,0,0.005894205,0.001356946, 0.56 ,56033 - 56168,56032.81197,134.6946151,56167.50659,,0
3405 HARR E   (ED),262,400,,,,,,,,,,,0,4,666,0.006114225,0,0,0,0,0,0,0,0,0,0,0.006114225,0.001407598, 0.56 ,56169 - 56308,56168.50659,139.7598365,56308.26642,,0
3406 HARR F   (ED),302,422,,,,,,,,,,,0,3,727,0.007029043,0,0,0,0,0,0,0,0,0,0,0.007029043,0.001618205, 0.56 ,56309 - 56470,56309.26642,160.8204939,56470.08692,,0
3407 HARR G   (ED),112,157,,,,,,,,,,,0,3,272,0.002628653,0,0,0,0,0,0,0,0,0,0,0.002628653,0.000605161, 0.57 ,56471 - 56531,56471.08692,59.51606608,56530.60298,,0
3501 IND HLL A   (ED),193,132,,,,,,,,,,,0,1,326,0.004481449,0,0,0,0,0,0,0,0,0,0,0.004481449,0.001031706, 0.57 ,56532 - 56634,56531.60298,102.170562,56633.77354,,0
3502 IND HLL B   (ED),287,252,,,,,,,,,,,0,6,545,0.006716383,0,0,0,0,0,0,0,0,0,0,0.006716383,0.001546225, 0.57 ,56635 - 56788,56634.77354,153.6225477,56788.39609,,0
3503 IND HLL C   (ED),271,147,,,,,,,,,,,0,3,421,0.006311084,0,0,0,0,0,0,0,0,0,0,0.006311084,0.001452919, 0.57 ,56789 - 56934,56789.39609,144.2918767,56933.68797,,0
3504 IND HLL D   (ED),222,128,,,,,,,,,,,0,1,351,0.005153087,0,0,0,0,0,0,0,0,0,0,0.005153087,0.001186328, 0.57 ,56935 - 57052,56934.68797,117.6328168,57052.32079,,0
3505 IND HLL E   (ED),269,178,,,,,,,,,,,0,1,448,0.006241605,0,0,0,0,0,0,0,0,0,0,0.006241605,0.001436923, 0.57 ,57053 - 57196,57053.32079,142.6923331,57196.01312,,0
3506 IND HLL F   (ED),194,146,,,,,,,,,,,0,5,345,0.004550929,0,0,0,0,0,0,0,0,0,0,0.004550929,0.001047701, 0.57 ,57197 - 57301,57197.01312,103.7701056,57300.78322,,0
3701 LOVE A   (ED),217,178,,,,,,,,,,,0,1,396,0.005037288,0,0,0,0,0,0,0,0,0,0,0.005037288,0.001159669, 0.57 ,57302 - 57417,57301.78322,114.9669108,57416.75014,,0
3702 LOVE B   (ED),370,248,,,,,,,,,,,1,5,624,0.008638659,0,0,0,0,0,0,0,0,0,0,0.008638659,0.001988766, 0.58 ,57418 - 57616,57417.75014,197.8765872,57615.62672,,0
3703 LOVE C   (ED),256,200,,,,,,,,,,,0,3,459,0.005963685,0,0,0,0,0,0,0,0,0,0,0.005963685,0.001372942, 0.58 ,57617 - 57753,57616.62672,136.2941587,57752.92088,,0
3704 LOVE D   (ED),221,159,,,,,,,,,,,0,2,382,0.005141507,0,0,0,0,0,0,0,0,0,0,0.005141507,0.001183662, 0.58 ,57754 - 57871,57753.92088,117.3662262,57871.28711,,0
3705 LOVE E   (ED),305,226,,,,,,,,,,,0,8,539,0.007156422,0,0,0,0,0,0,0,0,0,0,0.007156422,0.00164753, 0.58 ,57872 - 58036,57872.28711,163.7529905,58036.0401,,0
